호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
7,2746,대림(7),4627217,21964,662250,608835,701533,673803,692823,636218,651755
7,2747,남구로,7067824,33279,1033352,866639,1041848,1056909,1054883,969819,1044374
7,2748,가산디지털단지(7),16933238,79417,2558564,2083546,2442252,2520173,2507799,2262116,2558788
7,2749,철산,10431006,49247,1489166,1279513,1541262,1553870,1598783,1451094,1517318
7,2750,광명사거리,11222181,53114,1617186,1401587,1665557,1669501,1697921,1561883,1608546
7,2751,천왕,3889921,18205,531386,456341,560243,582770,604835,559598,594748
7,2752,온수(7),4546084,21543,601910,514872,695276,721722,720438,645104,646762
7,2753,까치울,3210917,15143,431410,371776,464948,495454,510622,466662,470045
7,2754,부천종합운동장,2094010,9984,276827,237213,297911,399177,313473,282371,287038
7,2755,춘의,3851513,18149,557542,470028,554571,584253,580665,538003,566451
7,2756,신중동,6326981,29840,912690,778605,926461,941915,962114,879266,925930
7,2757,부천시청,5518654,25912,789706,687348,801709,799975,832696,778548,828672
7,2758,상동,6416000,30297,927298,799299,950348,949069,965354,892395,932237
7,2759,삼산체육관,2247250,10534,309301,264298,320119,351071,345261,316568,340632
7,2760,굴포천,4070245,19205,587207,504171,597089,601776,615484,570399,594119
7,2761,부평구청(7),4597941,21650,655178,554160,674103,690926,701584,642682,679308
8,2811,암사,7567430,35684,1097934,931405,1114302,1125364,1138604,1051152,1108669
8,2812,천호(8),8429593,39853,1228366,1054631,1251230,1243779,1270469,1165013,1216105
8,2813,강동구청,4523378,21278,669553,555131,659243,665571,676697,625141,672042
8,2814,몽촌토성,2775794,13298,398172,327997,404658,416444,482835,376870,368818
8,2815,잠실(8),7387018,34807,1053642,940430,1067311,1126182,1103258,1009301,1086894
8,2816,석촌(8),3783641,17900,551045,464516,549879,589940,572528,512062,543671
8,2817,송파,3697704,17075,376208,373738,544733,593258,624843,577785,607139
8,2818,가락시장(8),3623984,17162,551346,450430,538633,539310,533333,493338,517594
8,2819,문정,8048794,37691,1188543,962166,1160592,1211256,1199573,1099921,1226743
8,2820,장지,7950563,37477,1140286,977326,1177570,1166399,1206138,1115562,1167282
8,2821,복정(8),4553749,21658,626816,522963,699778,714842,712323,643310,633717
